"","state","S1","S2","S3"
"85",2,2.77487975762118e-26,0.999999999637489,3.62511316760056e-10
"86",2,2.3793088049244e-24,0.99999999852549,1.47450991517698e-09
"87",2,4.17321976534088e-23,0.999999994912589,5.08741070972384e-09
"88",2,6.56004992814649e-24,0.999999998040587,1.95941245136728e-09
"89",2,1.31385492659791e-23,0.999999996183486,3.8165138788057e-09
"90",2,7.3443103514138e-23,0.999999985536699,1.44633005929023e-08
"91",2,1.17310666527061e-22,0.999999981550445,1.84495550957527e-08
"92",2,3.60665045230089e-23,0.999999983640921,1.63590788161404e-08
"93",2,8.8880731348479e-25,0.999999998351671,1.64832904131416e-09
"94",2,1.19080374484832e-25,0.999999998969073,1.03092669949227e-09
"95",2,2.52763704029137e-26,0.999999999415883,5.84117482897069e-10
"96",2,1.99412250281854e-26,0.99999999978298,2.1702015088651e-10
"97",2,2.21551232915363e-26,0.999999999856024,1.43976320776221e-10
"98",2,3.42649099762234e-27,0.999999999932241,6.77587884807519e-11
"99",2,1.14529698865198e-21,0.999999945213293,5.47867072084237e-08
"100",2,3.65492156214586e-23,0.999999990898935,9.10106469296949e-09
"101",2,5.22453403888119e-23,0.999999993316452,6.68354834157181e-09
"102",2,2.25799025451135e-22,0.999999984959726,1.50402742660648e-08
"103",2,4.79235028099231e-21,0.99999994620088,5.37991198720553e-08
"104",2,3.84075846352461e-21,0.999999889305663,1.10694336751714e-07
"105",2,1.24876442290906e-19,0.999998039005302,1.96099469829129e-06
"106",2,4.03403928338487e-17,0.999947586727542,5.2413272457552e-05
"107",2,7.20591390495803e-17,0.999828661166642,0.000171338833357529
"108",2,1.09203554281709e-15,0.999515720904396,0.000484279095603005
"109",2,1.39829735301525e-15,0.999942048077066,5.79519229321777e-05
"110",2,4.94990015240782e-16,0.999972844659123,2.71553408770693e-05
"111",2,1.76505726524383e-16,0.999961119833873,3.88801661262593e-05
"112",2,4.18805643271854e-16,0.999888929947897,0.000111070052102682
"113",2,3.62034447210549e-16,0.999909582354165,9.04176458346865e-05
"114",2,1.99358037510519e-14,0.999159441271814,0.000840558728165903
"115",2,6.15038109237952e-14,0.999163661561056,0.000836338438882498
"116",2,3.64552276439693e-13,0.996699438914228,0.00330056108540734
"117",2,6.48380796906488e-13,0.997254366185011,0.00274563381434102
"118",2,1.28001035587406e-12,0.992647907344375,0.00735209265434459
"119",2,2.30557077374565e-13,0.997006912849652,0.00299308715011735
"120",2,6.72275161396381e-14,0.999372696162638,0.000627303837294855
"121",2,3.83258975361582e-16,0.99998596525285,1.40347471493223e-05
"122",2,5.36384414841212e-18,0.999992128592485,7.87140751504245e-06
"123",2,1.85284134952545e-20,0.999999385198218,6.14801781638938e-07
"124",2,5.4597475338031e-19,0.999990309873266,9.69012673429266e-06
"125",2,2.96944276279343e-18,0.999984594918556,1.54050814442942e-05
"126",2,1.75878366696145e-16,0.999878804881736,0.0001211951182642
"127",2,8.86784295673092e-18,0.999987937096273,1.20629037265918e-05
"128",2,6.00078585717724e-17,0.999941968381592,5.80316184077636e-05
"129",2,6.12167099914057e-17,0.999883364607148,0.000116635392852432
"130",2,4.22825205493586e-16,0.999116310376377,0.000883689623622474
"131",2,2.30980664683156e-16,0.999467770727978,0.000532229272022086
"132",2,3.28254949153205e-16,0.999176147678146,0.000823852321853286
"133",3,1.23823527171285e-14,0.973041815612542,0.0269581843874452
"134",3,5.11909738704428e-14,0.611300214922756,0.388699785077193
"135",3,5.60450823470838e-15,0.0812590756221108,0.918740924377884
"136",3,1.22657228358364e-15,0.000510867424024146,0.999489132575975
"137",3,1.72475687417799e-18,9.03581466703591e-05,0.99990964185333
"138",3,1.52755255224233e-19,0.000388340729771648,0.999611659270228
"139",3,3.05124628873214e-17,8.64710244973282e-05,0.999913528975503
"140",3,2.23342734081115e-17,2.12896225111347e-05,0.999978710377489
"141",3,2.73994118258017e-19,6.0471345117311e-07,0.999999395286549
"142",3,1.36019132566928e-20,2.11502969037604e-08,0.999999978849703
"143",3,1.82851279779245e-21,1.37168673564537e-07,0.999999862831326
"144",3,1.28640026807916e-20,2.24352338792945e-06,0.999997756476612
"145",3,4.5862020091613e-20,5.46660428535189e-05,0.999945333957146
"146",3,1.92871384505143e-19,7.97644241373328e-05,0.999920235575863
"147",3,2.60669173575159e-18,5.48161790697151e-06,0.999994518382093
"148",3,3.4318243207093e-19,2.36828906134836e-07,0.999999763171094
"149",3,1.30496277916076e-20,2.14830080883972e-07,0.999999785169919
"150",3,4.14705516423616e-20,5.77010127231621e-08,0.999999942298987
"151",3,6.74534088502169e-21,1.78649590581247e-08,0.999999982135041
"152",3,1.29082181121351e-20,8.32929950951621e-09,0.9999999916707
"153",3,2.13409440872772e-20,4.15611133533242e-09,0.999999995843889
"154",3,1.7515855949424e-20,2.49765702330911e-08,0.99999997502343
"155",3,2.94722245530816e-19,2.75821664038537e-08,0.999999972417834
"156",3,1.59696910122506e-18,5.4735746845388e-09,0.999999994526425
"157",3,4.6485916261807e-19,1.26662568434138e-07,0.999999873337432
"158",3,1.20251999557794e-17,6.72453302271006e-08,0.99999993275467
"159",3,3.07421628490316e-18,3.48230654543739e-08,0.999999965176934
"160",3,1.30279412643705e-18,4.34618957245616e-08,0.999999956538104
"161",3,2.88325337456368e-19,5.17650076274576e-08,0.999999948234992
"162",3,7.68368036920367e-19,2.19377267126038e-08,0.999999978062273
"163",3,1.64704648406596e-19,2.18260088325554e-08,0.999999978173991
"164",3,2.3242495865073e-19,4.10486009118688e-09,0.99999999589514
"165",3,1.60984797225022e-20,2.41749299534215e-10,0.999999999758251
"166",3,2.20584466700048e-21,2.73988354400625e-10,0.999999999726012
"167",3,1.11936012724345e-21,1.1032909854193e-11,0.999999999988967
"168",3,1.92664322139103e-22,1.36463613763575e-11,0.999999999986354
"169",3,7.58491230486107e-23,2.56558083127905e-11,0.999999999974344
"170",3,3.92196608108018e-22,6.21536867746766e-11,0.999999999937846
"171",3,6.5050205007171e-22,7.21063007410296e-10,0.999999999278937
"172",3,7.41452218576973e-21,9.32919840578293e-09,0.999999990670802
"173",3,2.10771980617912e-19,2.67884158526552e-08,0.999999973211584
"174",3,1.43817831781296e-18,4.07469722557406e-08,0.999999959253028
"175",3,6.25631246679467e-18,1.60437104319053e-09,0.999999998395629
"176",3,4.26236741368268e-20,6.48583292323669e-09,0.999999993514167
"177",3,2.54997976396688e-20,5.35163555769139e-10,0.999999999464837
"178",3,2.00123785858704e-21,1.05669196493098e-09,0.999999998943308
"179",3,1.21626856554505e-21,3.99048722957464e-08,0.999999960095128
"180",3,2.73852005326061e-20,8.35514556046589e-09,0.999999991644855
"181",3,2.24200953373556e-21,7.72315001223212e-09,0.99999999227685
"182",3,2.07170831641374e-20,5.17937642300321e-10,0.999999999482062
"183",3,1.28485482872737e-20,2.75295413495836e-09,0.999999997247046
"184",3,7.45085117129164e-19,1.41817411548302e-09,0.999999998581826
"185",3,4.20526464761175e-18,6.979547684597e-10,0.999999999302045
"186",3,9.89129995411682e-19,2.72148612652593e-09,0.999999997278514
"187",3,2.63827971589377e-18,1.82894109813308e-10,0.999999999817106
"188",3,4.27246560383191e-19,3.46899913129326e-10,0.9999999996531
"189",3,4.57361307043045e-21,3.04998095400051e-11,0.9999999999695
"190",3,9.46192851414636e-24,1.08274361143361e-11,0.999999999989173
"191",3,3.61447276259559e-24,4.91103160973291e-12,0.999999999995089
"192",3,1.88669623636674e-24,8.62402619404969e-10,0.999999999137597
"193",3,7.37061556990238e-23,1.29418661534622e-08,0.999999987058134
"194",3,1.69704608069835e-22,8.02671942879776e-08,0.999999919732806
"195",3,2.88228226499767e-21,2.02291200002814e-08,0.99999997977088
"196",3,1.94407311957559e-22,0.00160624890560173,0.998393751094398
"197",3,1.47556250459095e-17,0.0108742082506968,0.989125791749303
"198",3,2.85207101679677e-15,1.61909205506293e-05,0.999983809079447
"199",3,2.55888290542142e-18,0.000294723149904731,0.999705276850095
"200",3,9.45728741714244e-16,9.16231665415673e-07,0.999999083768334
"201",3,7.29502563327705e-18,1.47481249803444e-06,0.999998525187502
"202",3,2.77621843446441e-18,0.00166820271133963,0.99833179728866
"203",3,9.46951082786013e-16,0.000995159534443204,0.999004840465556
"204",3,4.0224767941501e-16,0.000115236891548188,0.999884763108451
"205",3,3.66049866802914e-16,0.000337538904321688,0.999662461095678
"206",2,1.41653491456944e-18,0.955275158868597,0.0447248411314027
"207",2,2.67432007746866e-11,0.972011403598349,0.0279885963749073
"208",2,6.21336468748797e-16,0.999995212596919,4.78740308057462e-06
"209",2,2.44943780430748e-21,0.99999999997977,2.02303005269660e-11
"210",2,8.34529203647575e-20,0.999999999999869,1.31195738747498e-13
"211",2,9.3861945836911e-16,0.999999999925631,7.43681734543335e-11
"212",2,4.89819162904034e-14,0.999999999559873,4.40077860667536e-10
"213",2,6.80708577402801e-16,0.999999999999293,7.05924016663445e-13
"214",2,9.82829298326251e-15,0.999999999999285,7.05517931754912e-13
"215",2,2.16587911799597e-12,0.999999999958105,3.97295463492471e-11
"216",2,4.22679866521671e-07,0.999999513981539,6.33385941603963e-08
"217",2,3.0884468897351e-08,0.999999963892185,5.22334642752036e-09
"218",2,8.1536183270427e-11,0.999999999917129,1.3344753387417e-12
"219",2,1.04818645795883e-16,1,2.07493531875923e-18
"220",2,2.66670940310476e-16,0.999999999999999,3.41047313169554e-16
"221",2,4.15055669946282e-18,1,1.8239510401526e-18
"222",2,3.68517577441362e-16,1,1.91360725705877e-17
"223",2,1.58207526006327e-16,1,3.16709041727797e-18
"224",2,3.96988143664018e-23,1,1.55999538912521e-22
"225",2,5.94993651232265e-27,1,1.72585499717288e-25
"226",2,6.69830342752895e-25,1,1.05332243614013e-23
"227",2,4.10368673412142e-27,1,5.01466306337671e-26
"228",2,4.13938720266243e-21,1,5.52481741592399e-23
"229",2,3.63972984077915e-21,1,1.61318414421596e-23
"230",2,1.11927462353941e-14,0.999999999999989,2.54680851617496e-18
"231",2,1.25345659547254e-14,0.999999999999987,6.61022318294285e-18
"232",2,1.32326831969487e-13,0.999999999999868,9.3611182063203e-19
"233",2,4.76601445607033e-11,0.999999999952337,2.7901276035469e-15
"234",2,2.40295307070886e-18,1,4.31701099721532e-22
"235",2,1.34441937861801e-16,1,1.14180213297099e-20
"236",2,3.05911966030456e-23,1,1.13433493185163e-25
"237",2,1.29374175428311e-20,1,4.68242718210296e-25
"238",2,6.8937298796517e-21,1,7.89779170259873e-26
"239",2,1.29653560204634e-19,1,2.00645017378262e-25
"240",2,4.05975295052547e-18,1,6.55467247823527e-23
"241",2,1.00166537129242e-22,1,1.29402476751841e-25
"242",2,9.38655727448588e-29,1,2.62075252147474e-28
"243",2,8.17194504934742e-27,1,1.10541012266376e-26
"244",2,1.28278270088317e-30,1,1.71347080655593e-26
"245",2,8.27359435979273e-36,1,1.75260313755339e-29
"246",2,6.73485484498242e-44,1,6.87361063608039e-34
"247",2,1.31866907095476e-50,1,8.69502556250663e-37
"248",2,4.25738842615137e-36,1,9.14560885889756e-30
"249",2,1.72920649655045e-34,1,8.70353244901664e-30
"250",2,1.29188372904822e-34,1,1.24989013332071e-28
"251",2,4.61029457742957e-33,1,1.15352219514599e-27
"252",2,2.87193952529222e-30,1,3.15434927159425e-24
"253",2,4.54037383130517e-36,1,4.7793969244302e-26
"254",2,2.51388928411608e-27,1,6.94175299609902e-22
"255",2,9.19671651798802e-25,1,7.37543707743759e-19
"256",2,3.36083583236194e-22,1,2.36774194338351e-18
"257",2,3.44044336558398e-21,1,4.50016969086535e-18
"258",2,2.72285261346936e-20,1,2.07442096679414e-16
"259",2,6.90505264010996e-21,1,5.34426752950898e-17
"260",2,3.13419476138576e-22,1,6.24952680452179e-18
"261",2,1.21868675596479e-18,1,1.17755127900104e-16
"262",2,1.713231859895e-18,0.999999999999999,1.26289686643178e-15
"263",2,4.37698053115216e-17,0.999999999999981,1.89156120431078e-14
"264",2,6.00962962316033e-15,0.99999999999991,8.40048038217304e-14
"265",2,2.20369690100102e-18,1,3.52621197885171e-17
"266",2,2.30151298019948e-16,0.999999999999995,5.04581492819407e-15
"267",2,7.94690348265532e-16,0.999999999999986,1.36488005385606e-14
"268",2,1.22488795024463e-13,0.999999999999136,7.41490594724566e-13
"269",2,1.77819149863566e-14,0.999999999999932,5.03154700685224e-14
"270",2,5.59623137651187e-17,0.999999999999998,2.22749613672203e-15
"271",2,8.13260826559216e-13,0.999999999998386,8.01003689194684e-13
"272",2,4.90104491062738e-10,0.999999985583902,1.39259935442484e-08
"273",2,2.50481765915698e-12,0.999999999593503,4.03991953225125e-10
"274",2,7.64190767406227e-10,0.999999992173745,7.06206376084753e-09
"275",2,1.80654400968434e-08,0.999999502718694,4.7921586558148e-07
"276",2,2.6665706735624e-09,0.999999932463169,6.48702607544205e-08
"277",2,3.27580027024728e-11,0.999999999436934,5.30307612507232e-10
"278",2,1.06734262048934e-11,0.999999999951123,3.8203873535279e-11
"279",2,7.72585986456713e-12,0.999999999828482,1.63792463217084e-10
"280",2,7.06417366976522e-10,0.999999995902255,3.39132755784637e-09
"281",2,5.73947900879871e-10,0.999999971504579,2.79214735715369e-08
"282",2,4.19434933356978e-10,0.999999997366328,2.21423721501309e-09
"283",2,3.18273661177014e-09,0.999999993717514,3.09974973628061e-09
"284",2,8.93413738172239e-09,0.999999978650583,1.2415279825483e-08
"285",2,7.13115455249158e-09,0.999999986087755,6.7810904412937e-09
"286",2,1.31729237536317e-08,0.999999983584944,3.24213198131411e-09
"287",2,1.88290089431041e-07,0.999999774555388,3.71545222132091e-08
"288",2,2.48671020854587e-07,0.999998811727535,9.39601444555286e-07
"289",2,3.36096820554937e-07,0.999995739212338,3.92469084158389e-06
"290",2,1.74937684372709e-07,0.999991674164087,8.15089822834516e-06
"291",2,2.65153954849471e-07,0.999998596114716,1.13873132965251e-06
"292",2,1.58281310659734e-05,0.999970943277257,1.3228591677359e-05
"293",2,1.4765078151967e-05,0.999942480005717,4.27549161306451e-05
"294",2,4.79374470714593e-05,0.999945665432031,6.39712089777073e-06
"295",2,1.56122572203053e-05,0.99998437126195,1.64808293195035e-08
"296",2,7.33950762385656e-08,0.999999922658944,3.94597943169396e-09
"297",2,3.71410714629468e-08,0.999999956890164,5.96876443936272e-09
"298",2,6.10624299259404e-05,0.999929738358705,9.19921136921273e-06
"299",2,0.000520944501007127,0.999455217623873,2.38378751199523e-05
"300",2,0.0031949216762866,0.99644377514792,0.000361303175793324
"301",2,0.00146419414197158,0.997722458520579,0.000813347337449077
"302",1,0.0249451485732143,0.973947247500962,0.00110760392582413
"303",1,0.174657223206274,0.810601845907831,0.0147409308858944
"304",1,0.71786912387249,0.227396348839748,0.054734527287762
"305",1,0.972933697399969,0.000663244212803174,0.0264030583872275
"306",1,0.995808928577838,1.03146640382488e-08,0.00419106110749808
"307",1,0.999733771468968,2.74175261127999e-07,0.000265954355770857
"308",1,0.999885908940138,2.24016650551583e-08,0.000114068658197092
"309",1,0.999835828853231,3.5890095077842e-09,0.000164167557759607
"310",1,0.999905857538093,2.70956880612644e-08,9.41153662185512e-05
"311",1,0.999966369181075,4.76990705868478e-09,3.36260490182389e-05
"312",1,0.999954628818796,3.43964194706636e-10,4.53708372394199e-05
"313",1,0.999842917550001,3.45467100828376e-11,0.000157082415452023
"314",1,0.999843810650368,2.54933483074597e-11,0.000156189324138419
"315",1,0.999936431352579,6.35259046551835e-12,6.35686410685016e-05
"316",1,0.999972271055992,8.14193525148832e-13,2.77289431934414e-05
"317",1,0.999983505741854,1.05978658821748e-13,1.64942580404287e-05
"318",1,0.999998122540704,5.73956356871734e-14,1.8774592388836e-06
"319",1,0.999999811351686,1.55418572151516e-14,1.88648298149945e-07
"320",1,0.99999984434853,5.30933440802298e-16,1.55651470036952e-07
"321",1,0.99999987871033,5.4068468083085e-16,1.21289669475025e-07
"322",1,0.99999997742365,3.0321230619981e-17,2.25763504183177e-08
"323",1,0.999999981820231,3.84675834881135e-18,1.817976940236e-08
"324",1,0.999999889203978,3.41024932162739e-18,1.10796022127377e-07
"325",1,0.999999968277732,1.98988011413248e-18,3.17222679709563e-08
"326",1,0.999999945727947,6.13785461550084e-20,5.42720529771719e-08
"327",1,0.999999961128828,2.00806207317879e-20,3.88711723430844e-08
"328",1,0.999999954057927,2.89375524744403e-22,4.59420732460156e-08
"329",1,0.999999987954418,2.60258018663797e-22,1.20455818253085e-08
"330",1,0.999999997809977,4.70447930152815e-24,2.19002325442912e-09
"331",1,0.999999943150035,2.12833426346139e-25,5.68499645524847e-08
"332",1,0.999999789743852,2.95921727680831e-24,2.10256148618018e-07
"333",1,0.999999460517488,1.95892079504069e-21,5.39482512213066e-07
"334",1,0.999999204060814,5.63818237895573e-20,7.95939186046752e-07
"335",1,0.999998461730439,4.82703696995446e-19,1.53826956060844e-06
"336",1,0.999992128079224,1.39763576369568e-20,7.87192077585644e-06
"337",1,0.999997364960325,9.58717729241348e-20,2.6350396746499e-06
"338",1,0.999999673582789,3.15676535251316e-18,3.26417210901973e-07
"339",1,0.999999591479763,6.34908150639508e-19,4.0852023710561e-07
"340",1,0.999999855952055,1.93412350879781e-18,1.44047945362914e-07
"341",1,0.999999884717865,2.09055676879006e-19,1.15282134614935e-07
"342",1,0.99999994537015,1.46764636213714e-15,5.46298488105083e-08
"343",1,0.999999447039131,1.6917182600665e-16,5.52960869178787e-07
"344",1,0.99999973263815,1.43146500541959e-17,2.67361850375468e-07
"345",1,0.999999931179374,4.35793974871892e-20,6.88206258053324e-08
"346",1,0.999999965526247,2.03405663355735e-19,3.44737532009003e-08
"347",1,0.999999975423098,2.82765878693917e-18,2.45769023148211e-08
"348",1,0.999999972812891,2.42066878379979e-19,2.71871084899347e-08
"349",1,0.999999980764984,3.0636649282593e-19,1.92350160109842e-08
"350",1,0.999999994958956,2.67119997641634e-17,5.04104392167058e-09
"351",1,0.999999996512098,1.44937059256394e-17,3.48790159778671e-09
"352",1,0.999999995419725,7.25367120934065e-17,4.58027492689899e-09
"353",1,0.999999990190181,2.37798203720819e-15,9.80981663491105e-09
"354",1,0.999999992922979,8.43359925633532e-16,7.07702011807914e-09
"355",1,0.999999969525201,2.96820823276147e-13,3.04745022926268e-08
"356",1,0.999999371240924,6.47669075850874e-09,6.22282385102161e-07
"357",1,0.999999398751789,2.61915745901642e-11,6.01222019052987e-07
"358",1,0.999999901153629,9.73737131675314e-13,9.88453968151537e-08
"359",1,0.9999999566117,4.11984272112127e-15,4.33882959025281e-08
"360",1,0.999999987858043,1.0775867000878e-18,1.21419566815017e-08
"361",1,0.999999965120266,3.64691535986561e-20,3.48797341173069e-08
"362",1,0.999999936302794,1.03199599396452e-19,6.36972061110567e-08
"363",1,0.999999859871508,5.01325463447358e-19,1.40128492048508e-07
"364",1,0.999999819793876,2.50647044620953e-19,1.8020612356499e-07
"365",1,0.999999945350497,1.77090686979662e-19,5.46495034842348e-08
"366",1,0.999999980845505,1.56072850655337e-20,1.91544948101546e-08
"367",1,0.999999734250895,3.54222856090146e-22,2.65749105550566e-07
"368",1,0.999999804716379,2.48190442882915e-21,1.95283621346317e-07
"369",1,0.999998501764831,3.01845783692922e-22,1.49823516910217e-06
"370",1,0.999999345101512,1.7233638069001e-21,6.54898487896189e-07
"371",1,0.999999722356506,5.91381373805069e-22,2.7764349379888e-07
"372",1,0.999999938624022,1.99161258021032e-20,6.1375978161073e-08
"373",1,0.999999867333995,3.41221155339539e-21,1.32666004575949e-07
"374",1,0.999999795370481,3.27702578668729e-21,2.04629519043451e-07
"375",1,0.999999719568168,3.53684125976319e-21,2.80431831581663e-07
"376",1,0.999997829860433,7.19605722751017e-22,2.17013956732909e-06
"377",1,0.999999237423082,2.43061032254705e-22,7.62576917613035e-07
